title,authors,affiliation,venue,year,latitude,longitude
"The Changing Landscape of Machine Learning: A Comparative Analysis of Centralized Machine Learning, Distributed Machine Learning and Federated Machine Learning.","Dishita Naik, Nitin Naik",UKCI,UKCI,2023,40.4942567,71.6963017
Roles of Machine Learning and Deep Learning for Supporting E-Learning Processes and Learning Outcomes through The Lens Of System&apos;s View of E-Learning Success Model.,"Sean Eom, Mohamed Amroune, Abderrazak Khediri, Mohammed Ridda Laour",AMCIS,AMCIS,2024,45.88814235,9.945661303768276
Brain Tumor Classification using Machine Learning and Deep Learning Algorithms: A Comparison: Classifying brain MRI images on thebasis of location of tumor and comparingthe various Machine Learning and Deep LEARNING models used to predict best performance.,"Ananya Joshi 0003, Vipasha Rana, Aman Sharma",IC3,IC3,2022,40.19029665,-8.430280100000001
Machine Learning - A Journey to Deep Learning - with Exercises and Answers,"Andreas Wichert, Luis Sa-Couto",Machine Learning - A Journey to Deep Learning,Machine Learning - A Journey to Deep Learning,2021,,
Machine Learning for Automatic Machine-to-Machine (M2M) Communication in 5G. (Apprentissage Automatique pour la Communication Machine à Machine (M2M) Autonome dans la 5G).,Unknown Author,Unknown Venue,Unknown Venue,2021,,
Resilient Machine Learning for Networked Cyber Physical Systems: A Survey for Machine Learning Security to Securing Machine Learning for CPS.,"Felix O. Olowononi, Danda B. Rawat, Chunmei Liu",IEEE Commun. Surv. Tutorials,IEEE Commun. Surv. Tutorials,2021,,
Resilient Machine Learning for Networked Cyber Physical Systems: A Survey for Machine Learning Security to Securing Machine Learning for CPS.,"Felix O. Olowononi, Danda B. Rawat, Chunmei Liu",CoRR,CoRR,2021,53.9634467,-7.4991271
"Linear Algebra and Optimization with Applications to Machine Learning - Volume I: Linear Algebra for Computer Vision, Robotics, and Machine Learning","Jean H. Gallier, Jocelyn Quaintance","Linear Algebra and Optimization with Applications to Machine Learning, Volume I","Linear Algebra and Optimization with Applications to Machine Learning, Volume I",2020,,
Linear Algebra and Optimization with Applications to Machine Learning - Volume II: Fundamentals of Optimization Theory with Applications to Machine Learning,"Jean H. Gallier, Jocelyn Quaintance","Linear Algebra and Optimization with Applications to Machine Learning, Volume II","Linear Algebra and Optimization with Applications to Machine Learning, Volume II",2020,,
"Automated Machine Learning - Methods, Systems, Challenges","Frank Hutter, Lars Kotthoff, Joaquin Vanschoren","['Automated Machine Learning', 'The Springer Series on Challenges in Machine Learning']","['Automated Machine Learning', 'The Springer Series on Challenges in Machine Learning']",2019,,
"Lifelong Machine Learning, Second Edition","Zhiyuan Chen 0001, Bing Liu 0001","['Lifelong Machine Learning', 'Synthesis Lectures on Artificial Intelligence and Machine Learning']","['Lifelong Machine Learning', 'Synthesis Lectures on Artificial Intelligence and Machine Learning']",2018,,
Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2015,,
"Advanced Lectures on Machine Learning, Machine Learning Summer School 2002, Canberra, Australia, February 11-22, 2002, Revised Lectures","Shahar Mendelson, Alexander J. Smola","['Machine Learning Summer School', 'Lecture Notes in Computer Science']","['Machine Learning Summer School', 'Lecture Notes in Computer Science']",2003,,
Can machine learning solve the challenge of adaptive learning and the individualization of learning paths? A field experiment in an online learning platform.,"Tim Klausmann, Marius Köppel, Daniel Schunk, Isabell Zipperle",CoRR,CoRR,2024,53.9634467,-7.4991271
Work-In-Progress: Investigate Eye-Tracking Metrics and Effectiveness of Visual Learning Aids in Online Learning Environments for Students with Learning Disabilities Using Machine Learning.,"Yuexin Liu, Wei Lu, Amir Tofighi Zavareh, Ben Zoghi",FIE,FIE,2023,59.5347796,-1.6284978260484486
"Machine Learning and Data Analytics for Solving Business Problems: Methods, Applications, and Case Studies","Bader A. Alyoubi, Chiheb-Eddine Ben Ncir, Ibraheem Mubarak Alharbi, Anis Jarboui","['Machine Learning and Data Analytics for Solving Business Problems', 'Unsupervised and Semi-Supervised Learning']","['Machine Learning and Data Analytics for Solving Business Problems', 'Unsupervised and Semi-Supervised Learning']",2022,,
Batch-like Online Learning for More Robust Hybrid Artificial Intelligence: Deconstruction as a Machine Learning Process.,Unknown Author,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,2021,,
The Machine Learning Machine: A Tangible User Interface for Teaching Machine Learning.,"Magnus Høholt Kaspersen, Karl-Emil Kjær Bilstrup, Marianne Graves Petersen",TEI,TEI,2021,45.817512,12.885024
"Enhanced Machine Learning Algorithms: Deep Learning, Reinforcement learning and Q-learning.","Ji Su Park, Jong Hyuk Park",J. Inf. Process. Syst.,J. Inf. Process. Syst.,2020,,
"Using Learning Algorithms to Create, Exploit and Maintain Knowledge Bases: Principles of Constructivist Machine Learning.",Unknown Author,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,2020,,
Machine Learning Paradigms - Advances in Learning Analytics.,"Maria Virvou, Efthimios Alepis, George A. Tsihrintzis, Lakhmi C. Jain",Machine Learning Paradigms,Machine Learning Paradigms,2020,,
Machine Learning Paradigms - Advances in Learning Analytics,"Maria Virvou, Efthimios Alepis, George A. Tsihrintzis, Lakhmi C. Jain","['Machine Learning Paradigms', 'Intelligent Systems Reference Library']","['Machine Learning Paradigms', 'Intelligent Systems Reference Library']",2020,,
Learning Curves in Machine Learning.,Unknown Author,Encyclopedia of Machine Learning and Data Mining,Encyclopedia of Machine Learning and Data Mining,2017,,
DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels.,"David Miller, Hossein Soleimani, Arkaitz Zubiaga, Vctor Fresno",UCI Machine Learning Repository,UCI Machine Learning Repository,2016,,
Statistical Reinforcement Learning - Modern Machine Learning Approaches.,Unknown Author,Chapman and Hall / CRC machine learning and pattern recognition series,Chapman and Hall / CRC machine learning and pattern recognition series,2015,,
Open University Learning Analytics dataset.,"Jakub Kuzilek, Martin Hlosta, Zdenek Zdráhal",UCI Machine Learning Repository,UCI Machine Learning Repository,2015,,
Educational Process Mining (EPM): A Learning Analytics Data Set.,"Mehrnoosh Vahdat, Luca Oneto, Davide Anguita, Mathias Funk, Matthias Rauterberg",UCI Machine Learning Repository,UCI Machine Learning Repository,2015,,
Multi-Engine Machine Translation as a Lifelong Machine Learning Problem.,Unknown Author,AAAI Spring Symposium - Lifelong Machine Learning,AAAI Spring Symposium - Lifelong Machine Learning,2013,,
Lifelong Machine Learning Systems: Beyond Learning Algorithms.,"Daniel L. Silver, Qiang Yang 0001, Lianghao Li",AAAI Spring Symposium - Lifelong Machine Learning,AAAI Spring Symposium - Lifelong Machine Learning,2013,,
ser Knowledge Modeling Data (Students&apos; Knowledge Levels on DC Electrical Machines).,"Hamdi Tolga Kahraman, Ilhami Colak, Seref Sagiroglu",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Note on &quot;Single-machine and flowshop scheduling with a general learning effect model&quot; and &quot;Some single-machine and m-machine flowshop scheduling problems with learning considerations&quot;.,"Wen-Hung Kuo, Dar-Li Yang",Inf. Sci.,Inf. Sci.,2010,,
Learning Curves in Machine Learning.,Unknown Author,Encyclopedia of Machine Learning,Encyclopedia of Machine Learning,2010,,
Secrets of Machine Learning - How It Works and What It Means for You,Unknown Author,Secrets of Machine Learning,Secrets of Machine Learning,2024,,
Representation learning methods for robotic perception and learning - at the intersection of computational neuroscience and machine learning.,Unknown Author,Unknown Venue,Unknown Venue,2024,,
Machine learning for fetal ultrasound image analysis using privileged information. (Machine learning pour l&apos;analyse d&apos;échographies fœtales avec l&apos;utilisation d&apos;information privilégiée).,Unknown Author,Unknown Venue,Unknown Venue,2024,,
A Machine Learning-Oriented Survey on Tiny Machine Learning.,"Luigi Capogrosso, Federico Cunico, Dong Seon Cheng, Franco Fummi, Marco Cristani",IEEE Access,IEEE Access,2024,,
IR-QLA: Machine Learning-Based Q-Learning Algorithm Optimization for UAVs Faster Trajectory Planning by Instructed- Reinforcement Learning.,"Muhammad Muzammul, Muhammad Assam, Yazeed Yasin Ghadi, Nisreen Innab, Masoud Alajmi, Tahani Jaser Alahmadi",IEEE Access,IEEE Access,2024,,
Personalization of Learning: Machine Learning Models for Adapting Educational Content to Individual Learning Styles.,"William Eduardo Villegas-Ch., Joselin García-Ortiz, Santiago Sánchez-Viteri",IEEE Access,IEEE Access,2024,,
Machine Learning for All! - Introducing Machine Learning in Middle and High School.,"Ramon Mayor Martins, Christiane Gresse von Wangenheim, Marcelo Fernando Rauber, Jean Carlo Hauck",Int. J. Artif. Intell. Educ.,Int. J. Artif. Intell. Educ.,2024,,
The Use of eXplainable Artificial Intelligence and Machine Learning Operation Principles to Support the Continuous Development of Machine Learning-Based Solutions in Fault Detection and Identification.,"Tuan-anh Tran, Tamás Ruppert, János Abonyi",Comput.,Comput.,2024,44.2209725,7.532618
"A systematic review and meta-analysis of machine learning, deep learning, and ensemble learning approaches in predicting EV charging behavior.","Elaheh Yaghoubi, Elnaz Yaghoubi, Ahmed Khamees, Darioush Razmi, Tianguang Lu",Eng. Appl. Artif. Intell.,Eng. Appl. Artif. Intell.,2024,,
What causes exceptions in machine learning applications? Mining machine learning-related stack traces on Stack Overflow.,"Amin Ghadesi, Maxime Lamothe, Heng Li 0007",Empir. Softw. Eng.,Empir. Softw. Eng.,2024,,
"Development of Intelligent Fault-Tolerant Control Systems with Machine Learning, Deep Learning, and Transfer Learning Algorithms: A Review.","Arslan Ahmed Amin, Muhammad Sajid Iqbal, Muhammad Hamza Shahbaz",Expert Syst. Appl.,Expert Syst. Appl.,2024,,
"Sample size effects on landslide susceptibility models: A comparative study of heuristic, statistical, machine learning, deep learning and ensemble learning models with SHAP analysis.","Shilong Yang, Jiayao Tan, Danyuan Luo, Yuzhou Wang, Xu Guo, Qiuyu Zhu, Chuanming Ma, Hanxiang Xiong",Comput. Geosci.,Comput. Geosci.,2024,,
Enhanced FIWARE-Based Architecture for Cyberphysical Systems With Tiny Machine Learning and Machine Learning Operations: A Case Study on Urban Mobility Systems.,"Javier Conde, Jose Andrés Muñoz-Arcentales, Álvaro Alonso, Joaquín Salvachúa, Gabriel Huecas",IT Prof.,IT Prof.,2024,40.4391978,18.0361672
Machine learning-assisted search for novel coagulants: When machine learning can be efficient even if data availability is low.,"Andrij A. Rovenchak, Maksym Druchok",J. Comput. Chem.,J. Comput. Chem.,2024,,
Explainable predictions of a machine learning model to forecast the postoperative length of stay for severe patients: machine learning model development and evaluation.,"Ha Na Cho, Imjin Ahn, Hansle Gwon, Hee-Jun Kang, Yunha Kim, Hyeram Seo, Heejung Choi, Minkyoung Kim, JiYe Han, Gaeun Kee, Seohyun Park, Tae Joon Jun, Young-Hak Kim",BMC Medical Informatics Decis. Mak.,BMC Medical Informatics Decis. Mak.,2024,,
"Advancing brain tumor classification accuracy through deep learning: harnessing radimagenet pre-trained convolutional neural networks, ensemble learning, and machine learning classifiers on MRI brain images.","Nihal Remzan, Karim Tahiry, Abdelmajid Farchi",Multim. Tools Appl.,Multim. Tools Appl.,2024,,
Machine learning and non-machine learning methods in mathematical recognition systems: Two decades&apos; systematic literature review.,"Sakshi, Vinay Kukreja",Multim. Tools Appl.,Multim. Tools Appl.,2024,,
"A systematic review and meta-analysis of artificial neural network, machine learning, deep learning, and ensemble learning approaches in field of geotechnical engineering.","Elaheh Yaghoubi, Elnaz Yaghoubi, Ahmed Khamees, Amir Hossein Vakili",Neural Comput. Appl.,Neural Comput. Appl.,2024,,
"Forecasting CO2 emissions of fuel vehicles for an ecological world using ensemble learning, machine learning, and deep learning models.",Unknown Author,PeerJ Comput. Sci.,PeerJ Comput. Sci.,2024,,
What we can do with one qubit in quantum machine learning: ten classical machine learning problems that can be solved with a single qubit.,Unknown Author,Quantum Mach. Intell.,Quantum Mach. Intell.,2024,,
"Comparative Analysis of Machine Learning, Ensemble Learning and Deep Learning Classifiers for Parkinson&apos;s Disease Detection.","Palak Goyal, Rinkle Rani",SN Comput. Sci.,SN Comput. Sci.,2024,,
